vessel_id,t,lon,lat,heading,course,speed
1851,1677288525385,25.98733329772949,37.34966659545898,302,302,11
1862,1677288555261,26.26880073547364,36.91128921508789,316,316,14
1852,1677288565001,26.098466873168945,37.28383255004883,136,136,11
1852,1677288756379,26.107166290283203,37.27608489990234,138,138,11
1852,1677288885888,26.111799240112305,37.26991653442383,149,149,11
1862,1677288891031,26.249616622924805,36.92759323120117,316,316,14
1852,1677289026310,26.114465713500977,37.26246643066406,164,164,11
1862,1677289059149,26.240079879760746,36.93600845336914,317,317,14
1852,1677289235218,26.11849975585937,37.25126647949219,163,163,12
1851,1677289321255,25.94099998474121,37.37366485595703,302,302,11
1862,1677289341169,26.22731590270996,36.9517707824707,326,326,14
1862,1677289412099,26.224327087402344,36.95586013793945,329,329,14
1852,1677289505425,26.12371635437012,37.23664855957031,164,164,12
1862,1677289533174,26.21934127807617,36.96281814575195,330,330,14
1852,1677289575400,26.12501716613769,37.23286819458008,164,164,12
1842,1677289624502,26.202512741088867,36.98975372314453,154,154,11
1862,1677289640592,26.21485710144043,36.96902084350586,329,329,14
1872,1677289866232,24.613168716430664,37.97368621826172,206,206,10
1862,1677289892979,26.20441627502441,36.98351287841797,329,329,14
1852,1677289945459,26.13203239440918,37.21274948120117,164,164,12
1872,1677289946657,24.611013412475582,37.97021484375,206,206,10
1842,1677290002820,26.21367645263672,36.972198486328125,152,152,11
1852,1677290046458,26.133882522583008,37.20724868774414,164,164,12
1852,1677290174695,26.136249542236328,37.200382232666016,164,164,11
1852,1677290294703,26.138566970825195,37.19386672973633,164,164,12
1872,1677290306323,24.60128402709961,37.954708099365234,206,206,10
1862,1677290396659,26.18342971801757,37.01279830932617,330,330,14
1852,1677290446655,26.141433715820312,37.18568420410156,164,164,12
1872,1677290496696,24.59619903564453,37.94667816162109,206,206,10
